KR,ID,Label,Detail,Option1,Option2,Option3
,2200,골든 소드,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,2201,매직 링,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,2202,마법사의 모자,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,2203,마법 스크롤,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,2204,던전 금화,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,2205,황금 왕관,모험가들이 던전을 탐색하는 가장 큰 이유가 되는 보물입니다.,,,
,,,,,,
,,,,,,
,,,,,,
3000~3999 facility_Event,,,,,,
,3000,출구,지상으로 향하는 출입구 입니다.,,,
,3001,입구,지하로 향하는 출입구입니다.,,,
,3002,전이진,던전의 숨겨진 공간으로 이동할 수 있는 전이진입니다.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,3200,낙하 함정,뻔히 보이는 함정이지만 걸린다면 꽤나 효과가 있을거에요.,,,
,3201,강화 낙하 함정,뻔히 보이는 함정이지만 걸린다면 꽤나 효과가 있을거에요. 좀 더 여러번 사용 가능합니다.,,,
,3202,송곳 함정,무시무시한 송곳이 올라오는 함정이에요. 모르고 위를 지나간다면 크게 다칠거에요.,,,
,,,,,,
,,,,,,
,,,,,,
,3500,건설 불가 타일,,,,
,,,,,,
,,,,,,
,,,,,,
,3900,금빛 천사상,황금으로 만들어진 천사상입니다. 기도를 올리면 소량의 골드를 얻습니다.,,,
,3901,은빛 천사상,순은으로 만들어진 천사상입니다. 기도를 올리면 소량의 마나를 얻습니다.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5000~6999 contents,,,,,,
,5000,작은 약초밭,하급 약초가 자라나는 약초밭을 설치합니다. 흔하긴 해도 마나를 지니고 있기 때문에 쓰임새는 많은 편이에요.,적용 범위는 3 x 3 입니다.,,
,5001,큰 약초밭,하급 약초가 자라나는 약초밭을 설치합니다. 흔하긴 해도 마나를 지니고 있기 때문에 쓰임새는 많은 편이에요.,적용 범위는 5 x 5 입니다.,,
,5002,고급 약초밭,고급 약초가 자라나는 약초밭을 설치합니다. 쉽게 구할 수 없는 귀한 약초입니다. 마나 효율이 높아요.,적용 범위는 1 x 3 입니다.,,
,5003,마나 호박밭,마나를 지닌 호박입니다. 최고급 식재료로도 사용이 되며 기타 여러 합성에 재료로 사용됩니다.,적용 범위는 작은 X 입니다.,,
,,,,,,
,,,,,,
,5100,작은 광맥,유용한 물질을 얻을 수 있는 광맥을 설치합니다. 여러 광물이 섞여있어요.,적용 범위는 작은 십자 입니다.,,
,5101,큰 광맥,유용한 물질을 얻을 수 있는 광맥을 설치합니다. 여러 광물이 섞여있어요.,적용 범위는 큰 마름모 입니다.,,
,5102,단단한 광맥,유용한 물질을 얻을 수 있는 광맥을 설치합니다. 마나를 많이 소모 할 수록 더 단단하고 귀한 물질로 되어있어요.,적용 범위는 3 x 1 입니다.,,
,5103,석탄 광맥,유용한 물질을 얻을 수 있는 광맥을 설치합니다. 마나를 많이 소모 할 수록 더 단단하고 귀한 물질로 되어있어요.,적용 범위는 3 x 1 입니다.,,
,5104,마나 철광맥,유용한 물질을 얻을 수 있는 광맥을 설치합니다. 마나를 많이 소모 할 수록 더 단단하고 귀한 물질로 되어있어요.,적용 범위는 3 x 1 입니다.,,
,,,,,,
,,,,,,
,5200,낙하 함정,고전식 발밑 함정을 설치합니다. 발동되면 시간과 체력에 피해를 줄 수 있어요.,적용 범위는 1 x 1 입니다.,,
,5201,강화 낙화 함정,고전식 발밑 함정을 설치합니다. 기존의 함정보다조금 더 효과가 강해졌어요.,적용 범위는 1 x 1 입니다.,,
,5202,송곳 함정,바닥에서 송곳이 올라오는 무시무시한 함정을 설치합니다. 발동되면 큰 피해를 입힙니다.,적용 범위는 1 x 1 입니다.,,
,,,,,,
,5300,쓸만한 무기,모험가들이 좋아할만한 무기를 설치합니다. \모험가에게 발견되면 던전의 인기도가 조금 올라요.,,,
,5301,마법 반지,던전의 마나를 사용해서 만들어낸 마법 반지입니다. 착용자의 마나를 조금 흡수하는 효과가 걸려있습니다. \모험가에게 발견되면 던전의 인기도가 조금 올라요.,,,
,5302,마법 스크롤,고대의 주문이 적힌 스크롤입니다. 고위 마법사들이 마법을 배우기 위해 필요한 아이템으로 인기가 많습니다.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,5500,입구,입구의 위치를 지정합니다. \입구는 층 당 한개만 존재할 수 있어요. \만약 입구가 없으면 시작시 자동으로 생성됩니다.,,,
,5501,출구,출구의 위치를 지정합니다. \출구는 층 당 한개만 존재할 수 있어요. \만약 출구가 없으면 시작시 자동으로 생성됩니다.,,,
,,,,,,
,,,,,,
7000~7999 Technical,,,,,,
,7000,허브 농장,2일마다 활성화 된 모든 층에 약초를 공급해줍니다. \가끔 좋은 약초가 나올때도 있어요!,,,
,7001,활력의 오브,매 턴 행동력이 1 늘어납니다. \역시 건강한게 제일이죠.,,,
,,,,,,
,,,,,,
,,,,,,
,7100,기부함,던전 입구에 기부함을 설치합니다. 사실 말이 기부함이지 입장료를 받는거에요. \많은 인기있는 던전들이 입장료를 받지만 과연 우리 던전도 입장료를 내고서라도 들어올 만한 가치가 있을까요?,,,
,7101,감옥,모험가를 포로로 잡을 수 있는 감옥을 설치합니다. \쓰러트린 일부 모험가들에게서 교섭으로 골드를 뜯어낼 수 있을거에요.,,,
