KeyName,ID,Label_KR,Detail_KR,Option_KR,Label_EN,Detail_EN,Option_EN,Label_JP,Detail_JP,Option_JP,Label_SCC,Detail_SCC,Option_SCC
Utori,905,우투리,행상인 겸 모험가. \돈을 밝히고- 호기심이 매우 많은 편입니다.,,Utori,A traveling merchant and adventurer. \Loves gold and is very curious.,,ウトリ,行商人兼冒険者。\ゴールドを好み- 好奇心が非常に旺盛です。,,于斗莉,行商兼冒险者。\喜欢金币- 而且非常富有好奇心。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mastia,911,마스티아,우연히 던전을 찾아온 다른 세계의 손님. \무대 위에서 노래하는 것이 꿈이라고 한다.,,Mastia,A visitor from another world who happened to find the dungeon. \She dreams of singing on stage.,,マスティア,偶然ダンジョンを訪れた異世界からの客。\ステージで歌うことが夢だという。,,玛斯蒂娅,偶然找到地下城的异世界访客。\她梦想在舞台上唱歌。,
Karen,912,카렌,우연히 던전을 찾아온 다른 세계의 손님. \모험을 찾아 어디든 다니는 강한 모험가이다.,,Karen,A visitor from another world who happened to find the dungeon. \A strong adventurer who travels anywhere in search of adventure.,,カレン,偶然ダンジョンを訪れた異世界からの客。\冒険を求めてどこへでも行く強い冒険者だ。,,卡伦,偶然找到地下城的异世界访客。\一位为寻找冒险而四处旅行的强大冒险者。,
Stan,913,스탄,우연히 던전을 찾아온 다른 세계의 손님. \강하지만 성격은 본능에 충실한 특이한 모험가이다.,,Stan,A visitor from another world who happened to find the dungeon. \A strong but peculiar adventurer who stays true to their instincts.,,スタン,偶然ダンジョンを訪れた異世界からの客。\強いが性格は本能に忠実な変わった冒険者だ。,,斯坦,偶然找到地下城的异世界访客。\虽然强大但性格特异的冒险者 - 忠于本能。,
Euh,914,에우,우연히 던전을 찾아온 다른 세계의 손님. \목검을 들었지만 매우 강하다. 그녀가 말하는 것은 아무도 본 적이 없다고 한다.,,Euh,A visitor from another world who happened to find the dungeon. \Although wielding a wooden sword - she is extremely powerful. They say no one has ever heard her speak.,,エウ,偶然ダンジョンを訪れた異世界からの客。\木刀を持っているが非常に強い。彼女が話すところを誰も見たことがないという。,,艾乌,偶然找到地下城的异世界访客。\虽然只持木剑 - 但非常强大。据说没人见过她说话。,
Romys,915,로미스,우연히 던전을 찾아온 다른 세계의 손님. \무언가 위험한 오오라가 나오는 것 같다. \심기를 거스르지 않게 조심하자.,,Romys,A visitor from another world who happened to find the dungeon. \It seems a dangerous aura emanates from them. \Let's be careful not to upset them.,,ロミス,偶然ダンジョンを訪れた異世界からの客。\何か危険なオーラが出ているようだ。\機嫌を損ねないよう気をつけよう。,,罗米斯,偶然找到地下城的异世界访客。\似乎散发着某种危险的气息。\小心不要惹恼他。,
Siri,916,시리,우연히 던전을 찾아온 다른 세계의 손님. \주변까지 밝게 만드는 따뜻한 미소를 지녔다.,,Siri,A visitor from another world who happened to find the dungeon. \They possess a warm smile that brightens even their surroundings.,,シーリ,偶然ダンジョンを訪れた異世界からの客。\周囲まで明るくする温かい笑顔を持っている。,,希莉,偶然找到地下城的异世界访客。\拥有能照亮周围的温暖笑容。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,991,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,
,992,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,
,993,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,新手地下城主人,虽然冒险等级较低- 但对地下城的知识相当丰富。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1000~1999 npc,,,,,,,,,,,,,
,1000,약초꾼,던전에서 나오는 약초나 풀들을 채취해서 마을과 길드에 공급해주는 역할을 합니다.,,Herbalist,They gather herbs and plants from the Dungeon and supply them to the village and guild.,,薬草採集人,ダンジョンで生える薬草や草を採取し、町やギルドに供給する役割を果たします。,,草药采集者,负责收集地下城中的药草和植物- 并供应给村庄和公会。,
,1001,베테랑 약초꾼,약초꾼을 업으로 오랜기간 일한 숙련자입니다.,,Veteran Herbalist,An experienced herbalist who has been in the profession for a long time.,,ベテラン薬草採集人,長期間薬草採集を生業としてきた熟練者です。,,资深草药采集者,长期从事草药采集工作的熟练者。,
,1002,전설의 약초꾼,귀한 약초가 있는 곳이라면 아무리 위험한 곳이라도 가서 캐내고야 만다는 전설의 약초꾼입니다.,,Legendary Herbalist,A legendary herbalist who ventures into even the most dangerous places to gather rare herbs.,,伝説の薬草師,貴重な薬草があるところなら- どんなに危険な場所でも採取してしまう伝説の薬草師です。,,传奇药师,只要有珍贵药草的地方- 无论多么危险都会前去采集的传奇药师。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1100,광부,던전에서 생성되는 다양한 광물을 캐내서 마을과 길드에 공급해주는 역할을 합니다.,,Miner,They mine various minerals generated in the Dungeon and supply them to the village and guild.,,鉱夫,ダンジョンで生成される様々な鉱物を採掘し、町やギルドに供給する役割を果たします。,,矿工,负责开采地下城中产生的各种矿物- 并供应给村庄和公会。,
,1101,베테랑 광부,광물캐기 숙련자입니다. 더 오래 효율적으로 일 할 수 있습니다.,,Veteran Miner,An experienced miner. They can work more efficiently for longer periods.,,ベテラン鉱夫,鉱物採掘の熟練者です。より長時間効率的に作業ができます。,,资深矿工,矿物开采的熟练者。可以更长时间高效工作。,
,1102,모험 광부,전설의 광물을 찾아다니는 모험가 겸 광부입니다. 전설의 광물을 캐기 위해 그에 걸맞은 강함을 가지고 있어요.,,Adventure Miner,An adventurer^miner who searches for legendary minerals. Possesses strength befitting one who mines legendary materials.,,冒険鉱夫,伝説の鉱物を探し求める冒険者兼鉱夫です。伝説の鉱物を採掘するためにそれにふさわしい強さを持っています。,,冒险矿工,寻找传奇矿物的冒险家兼矿工。为了开采传奇矿物而拥有相应的强大实力。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1200,초보 모험가,모험가가 된지 얼마 안된 새내기 모험가입니다. 나름 모험가라서 자원보단 몬스터와 보물에 관심이 있습니다.,,Adventurer,They recently became an adventurer. As an adventurer- they're more interested in monsters and treasure than resources.,,駆け出し冒険者,冒険者になってからあまり経っていない新米冒険者です。冒険者なりに資源よりもモンスターと宝物に関心があります。,,新手冒险者,刚成为冒险者不久的新人。作为冒险者- 比起资源更对怪物和宝物感兴趣。,
,1201,이름있는 모험가,꽤 이름있는 모험가입니다. 전투 능력과 상황판단 능력 등 새내기 모험가와는 비교할 수 없어요.,,Experienced Adventurer,They're a quite famous adventurer. Their combat abilities and situational judgment are incomparable to novice adventurers.,,名の知れた冒険者,かなり名の知れた冒険者です。戦闘能力や状況判断能力など、新米冒険者とは比べ物になりません。,,知名冒险者,相当有名的冒险者。战斗能力和判断力等方面与新手冒险者无法相比。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1300,엘프,자연에 살고 마나 친화력이 높은 종족입니다. 약초에 관한 지식이 많으며 기본적인 전투력도 갖추고 있습니다.,,Elf,They're a race that lives in nature and has a high affinity for mana. They have extensive knowledge about herbs and possess basic combat abilities.,,エルフ,自然に生き、マナ親和性の高い種族です。薬草に関する知識が豊富で、基本的な戦闘力も備えています。,,精灵,生活在自然中- 与魔力亲和度高的种族。拥有丰富的草药知识- 同时具备基本的战斗能力。,
,1301,다크 엘프,타락한 엘프 종족입니다. 엘프와는 정반대로 전투와 파괴를 일삼는 종족입니다.,,Dark Elf,A corrupted elven race. Unlike elves- they are a race devoted to combat and destruction.,,ダークエルフ,堕落したエルフの種族です。エルフとは正反対に- 戦闘と破壊を繰り返す種族です。,,黑暗精灵,堕落的精灵族。与精灵族相反- 是一个热衷于战斗和破坏的种族。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1400,위저드,마법과 물질- 기타 흥미로운 것들을 탐구하는 마법사입니다. 마법의 파괴력이 높기 때문에 상당히 위험합니다.,,Wizard,A wizard who explores magic- matter- and other interesting things. Their magic is highly destructive- making them quite dangerous.,,ウィザード,魔法と物質、その他興味深いものを探求する魔法使いです。魔法の破壊力が高いため、非常に危険です。,,法师,探索魔法- 物质和其他有趣事物的魔法师。魔法破坏力很高- 因此相当危险。,
,1401,뱀파이어,영겁의 수명을 가지고 있는 종족입니다. 던전은 그저 심심풀이로 놀러 올 정도로 강합니다.,,Vampire,A race with eternal lifespan. So powerful that they visit dungeons merely for entertainment.,,ヴァンパイア,永劫の寿命を持つ種族です。ダンジョンは暇つぶしに訪れる程の強さを持っています。,,吸血鬼,拥有永恒寿命的种族。强大到会把地下城当作消遣场所。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1500,고블린,던전의 모든 자원을 탐내는 고블린입니다.,,Goblin,A goblin coveting all resources in the dungeon.,,ゴブリン,ダンジョンの全ての資源を欲しがるゴブリンです。,,哥布林,觊觎地下城所有资源的哥布林。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1700,마나 고블린,분명 많은 마나를 가지고 있을 게 분명하다.,,Mana Goblin,Surely possesses a large amount of mana.,,マナゴブリン,確かに大量のマナを持っているに違いない。,,魔力哥布林,肯定拥有大量魔力。,
,1701,황금 리자드,온 몸이 금빛으로 빛나는 걸 보니 돈이 많아 보인다.,,Golden Lizard,Its shimmering golden body suggests great wealth.,,黄金トカゲ,全身が金色に輝いているのを見ると、お金持ちに見える。,,黄金蜥蜴,全身闪耀着金光- 看起来很富有。,
,1702,호박머리,어째서인지 존재만으로도 몬스터들을 도발하는 효과가 있는 듯 하다.,,Pumpkin Head,For some reason- its mere presence seems to provoke monsters.,,カボチャ頭,なぜか存在するだけでモンスターを挑発する効果がありそうだ。,,南瓜头,不知为何- 似乎仅凭存在就能挑衅怪物。,
,1703,산타,던전에 선물을 주러 온걸까?,,Santa,Has he come to give gifts to the dungeon?,,サンタ,ダンジョンにプレゼントを届けに来たのだろうか？,,圣诞老人,是来给地下城送礼物的吗？,
,1704,던전털이범,가만히 두면 보물만 얌체처럼 털어갈지도 모른다. 보이면 혼내주자.,,Dungeon Thief,If left alone- they might sneakily steal all the treasures. Let's teach them a lesson if spotted.,,ダンジョン荒らし,放っておくと宝物だけをずるがしこく盗んでいくかもしれない。見かけたら懲らしめよう。,,地下城盗贼,如果放任不管- 可能会像小偷一样偷走所有宝物。如果发现就教训他们一顿吧。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mastia,1711,마스티아,우연히 던전을 찾아온 다른 세계의 손님. \무대 위에서 노래하는 것이 꿈이라고 한다.,,Mastia,A visitor from another world who happened to find the dungeon. \She dreams of singing on stage.,,マスティア,偶然ダンジョンを訪れた異世界からの客。\ステージで歌うことが夢だという。,,玛斯蒂娅,偶然找到地下城的异世界访客。\她梦想在舞台上唱歌。,
Karen,1712,카렌,우연히 던전을 찾아온 다른 세계의 손님. \모험을 찾아 어디든 다니는 강한 모험가이다.,,Karen,A visitor from another world who happened to find the dungeon. \A strong adventurer who travels anywhere in search of adventure.,,カレン,偶然ダンジョンを訪れた異世界からの客。\冒険を求めてどこへでも行く強い冒険者だ。,,卡伦,偶然找到地下城的异世界访客。\一位为寻找冒险而四处旅行的强大冒险者。,
Stan,1713,스탄,우연히 던전을 찾아온 다른 세계의 손님. \강하지만 성격은 본능에 충실한 특이한 모험가이다.,,Stan,A visitor from another world who happened to find the dungeon. \A strong but peculiar adventurer who stays true to their instincts.,,スタン,偶然ダンジョンを訪れた異世界からの客。\強いが性格は本能に忠実な変わった冒険者だ。,,斯坦,偶然找到地下城的异世界访客。\虽然强大但性格特异的冒险者 - 忠于本能。,
Euh,1714,에우,우연히 던전을 찾아온 다른 세계의 손님. \목검을 들었지만 매우 강하다. 그녀가 말하는 것은 아무도 본 적이 없다고 한다.,,Euh,A visitor from another world who happened to find the dungeon. \Although wielding a wooden sword - she is extremely powerful. They say no one has ever heard her speak.,,エウ,偶然ダンジョンを訪れた異世界からの客。\木刀を持っているが非常に強い。彼女が話すところを誰も見たことがないという。,,艾乌,偶然找到地下城的异世界访客。\虽然只持木剑 - 但非常强大。据说没人见过她说话。,
Romys,1715,로미스,우연히 던전을 찾아온 다른 세계의 손님. \무언가 위험한 오오라가 나오는 것 같다. \심기를 거스르지 않게 조심하자.,,Romys,A visitor from another world who happened to find the dungeon. \It seems a dangerous aura emanates from them. \Let's be careful not to upset them.,,ロミス,偶然ダンジョンを訪れた異世界からの客。\何か危険なオーラが出ているようだ。\機嫌を損ねないよう気をつけよう。,,罗米斯,偶然找到地下城的异世界访客。\似乎散发着某种危险的气息。\小心不要惹恼他。,
Siri,1716,시리,우연히 던전을 찾아온 다른 세계의 손님. \주변까지 밝게 만드는 따뜻한 미소를 지녔다.,,Siri,A visitor from another world who happened to find the dungeon. \They possess a warm smile that brightens even their surroundings.,,シーリ,偶然ダンジョンを訪れた異世界からの客。\周囲まで明るくする温かい笑顔を持っている。,,希莉,偶然找到地下城的异世界访客。\拥有能照亮周围的温暖笑容。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1800,슬라임 헌터,길드의 퀘스트를 받고 출동한 몬스터 헌터,,Slime Hunter,A monster hunter dispatched by the guild to take on a quest,,スライムハンター,ギルドのクエストを受けて出動したモンスターハンター,,史莱姆猎人,接受公会任务出动的怪物猎人,
,1801,뒷골목 도적,길드에서 골렘의 핵이 비싼값에 거래된다는 것을 듣고 온 뒷골목 출신 도적,,Back Alley Bandits,A back-alley thug who came after hearing that the guild is buying Golem cores at a premium,,裏路地の盗賊,ギルドでゴーレムの核が高値で取引されていると聞いて来た裏路地出身の盗賊,,后巷强盗,听说公会高价收购巨像核心后从后巷而来的盗贼,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1903,새내기 모험가,방금 모험가가 된 새내기 모험가입니다. 나름 모험가라서 자원보단 몬스터와 보물에 관심이 있습니다.,,Newbie adventures,They recently became an adventurer. As an adventurer- they're more interested in monsters and treasure than resources.,,新米冒険者,冒険者になったばかりの新米です。冒険者なりに資源よりもモンスターと宝物に関心があります。,,新手冒险者,刚刚成为冒险者的新人。作为冒险者- 比起资源更对怪物和宝物感兴趣。,
,,,,,,,,,,,,,
,1908,혈기왕성한 모험가,초보자 던전을 답파하여 스승의 인정을 받으려하는 모험가,,Bloodthirsty Adventurer,An adventurer trying to earn their master's recognition by conquering the Novice Dungeon,,血気盛んな冒険者,初心者ダンジョンを踏破して師匠の認定を得ようとする冒険者,,血气方刚的冒险者,试图通过攻克新手地下城来获得师傅认可的冒险者,
,,,,,,,,,,,,,
