KR,ID,Label,Detail,Option1,Option2,Option3
3000~3999 facility_Event,,,,,,
,3000,出口,地上へ向かう出入り口です。,,,
,3001,入口,地下へ向かう出入り口です。,,,
,3002,転移陣,ダンジョンの隠された空間へ移動できる転移陣です。,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,3200,落とし穴,一目で分かる罠ですが、引っかかれば結構効果がありそうです。,,,
,3201,強化落とし穴,一目で分かる罠ですが、引っかかれば結構効果がありそうです。もう少し何回も使用できます。,,,
,3202,トゲの罠,恐ろしいトゲが飛び出す罠です。知らずに上を通れば大怪我をしそうです。,,,
,,,,,,
,,,,,,
,,,,,,
,3500,建設不可タイル,,,,
,3501,Obstacle_Wall,,,,
,,,,,,
,3503,RemoveableObstacle,,,,
,,,,,,
,3531,障害物_3階_1,,,,
,3532,障害物_3階_2,,,,
,3533,障害物_3階_3,,,,
,3534,障害物_3階_4,,,,
,3535,障害物_3階_5,,,,
,3536,障害物_3階_6,,,,
,,,,,,
,,,,,,
,3900,金色の天使像,黄金で作られた天使像です。祈りを捧げると少量のゴールドを得られます。,,,
,3901,銀色の天使像,純銀で作られた天使像です。祈りを捧げると少量のマナを得られます。,,,
,3902,信頼の彫像,信頼を感じさせる動物に似た彫像です。,,,
,3903,破壊の彫像,強い力と破壊の衝動を感じさせる彫像です。,,,
,,,,,,
,,,,,,
,,,,,,
5000~6999 contents,,,,,,
,5000,小さな薬草畑,下級薬草が育つ薬草畑を設置します。ありふれていますが、マナを持っているため用途は多いです。,適用範囲は3 x 3です。,,
,5001,大きな薬草畑,下級薬草が育つ薬草畑を設置します。ありふれていますが、マナを持っているため用途は多いです。,適用範囲は5 x 5です。,,
,5002,高級薬草畑,高級薬草が育つ薬草畑を設置します。簡単に手に入らない貴重な薬草です。マナ効率が高いです。,適用範囲は1 x 3です。,,
,5003,マナ大根畑,マナを宿した大根です。最高級食材としても使用され、その他様々な合成の材料としても使用されます。,適用範囲は小さなXです。,,
,5004,シダの壁,ダンジョンシダを大量に設置します。一つ一つの効果は弱いですが、冒険者の足を止めるのに効果的です。,,,
,5005,活力草畑,活力草を設置します。扱いを間違えると簡単に損傷するため、採集には多くの時間がかかります。,,,
,,,,,,
,,,,,,
,5100,小さな鉱脈,有用な物質を得ることができる鉱脈を設置します。様々な鉱物が混ざっています。,,,
,5101,大きな鉱脈,有用な物質を得ることができるより大きな鉱脈を設置します。様々な鉱物が混ざっています。,,,
,5102,ルビー鉱脈,ルビーを得ることができる鉱脈です。かなり硬いため、時間をかけて採掘する必要があります。,,,
,5103,石炭鉱脈,石炭を採掘できる鉱脈です。簡単かつ迅速に採掘が可能です。,,,
,5104,マナ鉄鉱脈,純度の高いマナ鉄鉱石を多量に含む黒いクリスタルを設置します。,,,
,5105,クリスタルの壁,クリスタルでできた壁を設置します。用途は多いが、採掘の難易度は高いです。,,,
,,,,,,
,,,,,,
,5200,落とし穴,古典的な足元の罠を設置します。作動すると時間と体力にダメージを与えられます。,適用範囲は1 x 1です。,,
,5201,強化落とし穴,古典的な足元の罠を設置します。既存の罠よりも少し効果が強くなっています。,適用範囲は1 x 1です。,,
,5202,トゲの罠,床からトゲが飛び出す恐ろしい罠を設置します。作動すると大きなダメージを与えます。,適用範囲は1 x 1です。,,
,,,,,,
,5300,使える武器,冒険者が好みそうな武器を設置します。\冒険者に発見されると、ダンジョンの人気度や危険度が少し上がります。,,,
,,,,,,
,5310,魔法の指輪,ダンジョンのマナを使って作り出した魔法の指輪です。着用者のマナを少し吸収する効果がかかっています。\冒険者に発見されるとダンジョンの人気度が少し上がります。,,,
,,,,,,
,5330,魔法の巻物,古代の呪文が書かれた巻物です。上位魔法使いたちが魔法を学ぶために必要なアイテムとして人気があります。,,,
,,,,,,
,5340,ダンジョンアーティファクト,ダンジョンでしか手に入らない希少なアーティファクトです。\どんなアーティファクトが出るかは分かりません。\それぞれ異なる固有の力を持っています。,,,
,,,,,,
,5360,宝箱,ダンジョン探索の楽しみを与える宝箱を作り出します。\どんな等級の箱が出るか、箱の中に何が入っているかは開けてみるまで分かりません。,,,
,,,,,,
,,,,,,
,5400,清らかな井戸,冒険者が休める井戸です。飲むと力が湧いてもう少し活動できます。\冒険者がもう少し遠くまで行けるよう助け、より多くのマナを得られるようにする目的の装置ですが、あまりに多くの便宜を提供すれば逆に危険になる可能性があるので、慎重に選択する必要があります。,,,
,,,,,,
,,,,,,
,5500,入口,入口の位置を指定します。\入口は階層ごとに一つだけ存在できます。\もし入口がなければ開始時に自動的に生成されます。,,,
,5501,出口,出口の位置を指定します。\出口は階層ごとに一つだけ存在できます。\もし出口がなければ開始時に自動的に生成されます。,,,
,,,,,,
,,,,,,
7000~7999 Technical,,,,,,
,7000,ハーブ農場,2日ごとにアクティブな全ての階層に薬草を供給します。\たまに良い薬草が出ることもあります！,,,
,7001,活力のオーブ,毎ターン行動力が1増えます。\やはり健康が一番ですね。,,,
,,,,,,
,,,,,,
,,,,,,
,7100,募金箱,ダンジョン入口に募金箱を設置します。実際のところ募金箱と言っても入場料を取るんです。\多くの人気のあるダンジョンが入場料を取っていますが、果たして私たちのダンジョンも入場料を払ってまで入る価値があるでしょうか？,,,
,7101,牢獄,冒険者を捕虜として捕らえられる牢獄を設置します。\倒した一部の冒険者たちから交渉でゴールドを巻き上げられそうです。,,,
