0~499 Day Event,,,,,,,,,,,,,,,,
500~999 Story,,,,,,,,,,,,,,,,
1000~1999 퀘스트보드,,,,,,,,,,,,,,,,
"2000~9999 NPC이벤트",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Type(Bubble:Quest),ID,keyName,index,optionString,mainText_KR,mainText_EN,mainText_JP,mainText_SCC,,,Title_KR,Title_EN,Title_JP,Title_SCC,,
Bubble,141,Catastrophe_Return,0, @Camera::EM_Catastrophe::Camera,오늘은 여기까지…,That's all for today…,今日はここまで…,今天到此为止…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,142,Catastrophe_Return_First,0, @Camera::EM_Catastrophe::Camera,오늘은 여기까지…,That's all for today…,今日はここまで…,今天到此为止…,,,,,,,,
,,,1,  @Action::Catastrophe_Refeat::Action@Camera::Player::Camera @Target::Player::Target,………………………………,………………………………,………………………………,………………………………,,,,,,,,
,,,2,,도대체 저건 뭐지?,What on earth is that?,一体あれは何だ？,那到底是什么啊？,,,,,,,,
,,,3,,생명체인지 아닌지조차 의심스러워.,I'm not even sure if it's a living being or not.,生命体なのかどうかさえ疑わしい。,甚至怀疑是不是生命体。,,,,,,,,
,,,4,,오늘은 겨우 돌려보냈지만…,I barely managed to send them away today- but…,今日はなんとか帰らせたけど...,今天好不容易赶走了…,,,,,,,,
,,,5,,이상하게 마나 생성도 적은 것 같고 쫓아내기 쉽지도 않네.,Oddly- it seems there’s less mana generation- \and it’s not easy to drive them away.,なんだかマナの生成も少ないし、\追い払うのも簡単じゃないね。,奇怪的是- 好像产生的魔力也很少- 而且不容易赶走。,,,,,,,,
,,,6,,보아하니 계속해서 찾아올 것 같은데…,It looks like they might keep coming…,見る限り、ずっと来るような気がするけど…,看样子会一直来…,,,,,,,,
,,,7,,이대로 가다간 다른 던전들처럼 잠식당해 버릴지도 몰라.,If this continues- \it could end up like the other dungeons- being overtaken.,このままだと他のダンジョンのように侵食されてしまうかもしれない。,这样下去- 可能会像其他地下城一样被侵蚀掉。,,,,,,,,
,,,8,,무슨 방법이 없을까? \어떻게든 찾아봐야겠어.,Is there no way to handle this? \I need to find a solution somehow.,何か方法がないかな？ \なんとか見つけなければ。,有什么办法吗？ \无论如何得想办法。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,143,Catastrophe_Seal,0,,…………,…………,…………,…………,,,,,,,,
,,,1,@Camera::BarrierOfSealing::Camera,,,,,,,,,,,,
,,,2,@Action::Catastrophe_Sealing::Action,,,,,,,,,,,,
,,,3,@Camera::Player::Camera @Target::Player::Target,!!,!!,!!,!!,,,,,,,,
,,,4,,뭔가 된 건가?,Did something happen?,何かが起こったのか？,是不是成功了？,,,,,,,,
,,,5,,저 이상한 존재에게 벗어난 거라면 좋겠네.,I hope it's free from that strange entity.,あの奇妙な存在から解放されたのなら良いんだけど。,希望能摆脱那个奇怪的存在。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,153,RetiredHero_Appear,0, @Camera::EM_RetiredHero::Camera,제자가 계속 던전을 가고싶다고 보채길래-\안전한 이 초보자 던전을 보냈었는데,My apprentice kept begging to go to the dungeon-\so I sent them to this safe Novice Dungeon,弟子がしつこくダンジョンに行きたがるので、\安全なこの初心者ダンジョンに送ったんだが,因为徒弟一直缠着要去地下城-\就把他送到了这个安全的新手地下城,,,,,,,,
,,,1,,꽤나 큰 상처를 입고 돌아왔단 말이지.,But they came back with quite severe injuries.,かなりの大怪我をして帰ってきたんだ。,结果带着相当严重的伤回来了。,,,,,,,,
,,,2,,분명 내 기억으론 별 거 없는 던전이었을텐데…,I'm sure I remember it being an unremarkable dungeon...,確か私の記憶では大したことのないダンジョンだったはずなんだが…,我记得这应该是个没什么特别的地下城啊…,,,,,,,,
,,,3,,아무래도 이상해서 조사해보니-\최근들어 강한 몬스터가 나온다거나\귀한 아이템들이 나온다는 소문이 있었지.,It seemed strange so I investigated-\and there were rumors that recently-\strong monsters have appeared or rare items have been found.,どうも様子がおかしいので調べてみると、最近、強いモンスターが出るとか、\珍しいアイテムが出るとかいう噂があったんだ。,觉得有点奇怪- 就调查了一下-\最近有传言说出现了强大的怪物\或者稀有的物品。,,,,,,,,
,,,4,,아무래도 직접 확인해보고싶어 와버렸군.,I wanted to check it out myself- so I came.,どうしても直接確認してみたくなって来てしまったよ。,我想亲自确认一下。,,,,,,,,
,,,5,,뭐- 모험가를 은퇴한 몸이지만 이정도는 괜찮겠지.,Well- although I'm retired as an adventurer- this much should be fine.,まぁ、冒険者を引退した身だけど、この程度なら大丈夫だろう。,虽然已经退休了- 但这种程度应该没问题吧。,,,,,,,,
,,,6,,과거 영웅소리까지 들었던 이 몸이니.,After all- I was once called a hero.,かつては英雄とまで呼ばれた私だしね。,毕竟我曾经被称为英雄。,,,,,,,,
,,,7,,그럼 가볼까?,Shall we go then?,じゃあ、行ってみようか？,那么- 出发吧？,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,154,RetiredHero_Defeat,0, @Camera::EM_RetiredHero::Camera,이건 확실히 위험하군.,This is definitely dangerous.,これは確かに危険だ。,这确实很危险啊。,,,,,,,,
,,,1,,아무리 은퇴했다지만 내가 이렇게 고전할 정도라니…,Even for a retired pro like me to struggle this much…,引退したとはいえ、私がこれほど苦戦するとは…,虽说已经退休了- 但没想到我会如此狼狈…,,,,,,,,
,,,2,,이건 길드에 보고할 필요가 있겠어.,This needs to be reported to the guild.,これはギルドに報告する必要があるな。,看来有必要向公会报告了。,,,,,,,,
,,,3, @Camera::Player::Camera @Target::Player::Target @Action::Hero_Die::Action@,…………………,…………………,…………………,…………………,,,,,,,,
,,,4,,이건 이제 돌이킬 수 없겠는걸.,This is irreversible now.,もう後戻りはできないな。,看来已经无法挽回了。,,,,,,,,
,,,5,,뭐…… 어쩔 수 없지.,Well... can't be helped.,まあ……仕方ないか。,唉…… 没办法。,,,,,,,,
,,,6,,앞으로는 몬스터와 함정에 더 신경써야겠어.,I'll have to be more careful with monsters and traps from now on.,これからはモンスターと罠にもっと気をつけないと。,以后得更加注意怪物和陷阱了。,,,,,,,,
,,,7,,그리고 길드에도 더 자주 들러서 정보를 파악하자.,And I should visit the guild more often to gather information.,それにギルドにももっと頻繁に立ち寄って情報を確認しよう。,也要经常去公会了解情况。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,200,BloodSong_Appear,0, @Camera::EM_Blood_Warrior_A::Camera,도착했다. 여기가 퀘스트 장소야.,We've arrived. This is the quest location.,到着した。ここがクエストの場所だ。,到了。这里就是任务地点。,,,,,,,,
,,,1, @Target::EM_Blood_Elf_A::Target,뭐? 정말이야?\이런 시시하고 재미도 없어 보이는 던전이라고?,What? Really?\Such a boring and uninteresting looking dungeon?,え？ 本当？ こんなつまらなくて面白くなさそうなダンジョンだって？,什么？真的吗？\这么平淡无奇- 看起来一点意思都没有的地下城？,,,,,,,,
,,,2, @Target::EM_Blood_Warrior_A::Target,위치상으론 여기가 맞는 것 같긴 한데…\[초보자 던전] 이라는 이름의 던전이라고 하네.,The location seems right...\It's called the [Novice Dungeon].,位置的にはここで合っているようだけど…「初心者ダンジョン」という名前のダンジョンだそうだ。,从位置来看- 应该就是这里…\据说是一个叫[新手地下城]的地下城。,,,,,,,,
,,,3, @Target::EM_Blood_Elf_A::Target,뭐가 [초보자 던전]이라는 이름의 던전 이라는 거야.\그냥 흔한 뉴비 던전 그 자체잖아!,What's with calling it the [Novice Dungeon]? \It's just your typical newbie dungeon through and through!,何が「初心者ダンジョン」という名前のダンジョンだよ。ただのありふれたニュービーダンジョンじゃないか！,什么叫[新手地下城]啊。\不就是普通的新手地下城吗！,,,,,,,,
,,,4, @Target::EM_Blood_Wizard_A::Target,흐음. 제가 알기로도 별거 없는 던전이었을 텐데-,Hmm. As far as I know- it was supposed to be an unremarkable dungeon-,ふむ。私が知る限りでも大したことのないダンジョンだったはずですが。,嗯。据我所知- 这应该是个平平无奇的地下城-,,,,,,,,
,,,5,,그런 곳에 고등급의 퀘스트가 나오다니 꽤 흥미롭네요.,It's quite interesting that a high^grade quest came from such a place.,そんな場所に高等級のクエストが出るなんて、かなり興味深いですね。,没想到会出现高等级的任务- 挺有意思的。,,,,,,,,
,,,6, @Target::EM_Blood_Tanker_A::Target,퀘스트 내용은 던전의 전체적인 조사와 위험도의 재측정이다.,The quest content is to survey the entire dungeon and reassess its danger level.,クエストの内容はダンジョンの全体的な調査と危険度の再測定だ。,任务内容是全面调查地下城并重新评估危险程度。,,,,,,,,
,,,7,,잘 모르니 조심해야 할 필요가 있어.,We need to be careful since we don't know much.,よく分からないから注意する必要がありそうだ。,我们不太了解情况- 得小心一点。,,,,,,,,
,,,8, @Target::EM_Blood_Elf_A::Target,조심은 너나 해! 네가 앞에서 맞아주면 되잖아!,You be careful! You can take the hits in front!,注意するのはお前だけにしとけ！ お前が前に立って受け止めればいいんだろ！,你们小心就行了！你在前面挡着不就得了！,,,,,,,,
,,,9, @Target::EM_Blood_Tanker_A::Target,………………,………………,………………,………………,,,,,,,,
,,,10, @Target::EM_Blood_Warrior_A::Target,진정 좀 해.,Calm down a bit.,落ち着けよ。,冷静点。,,,,,,,,
,,,11,,길드에서도 그냥 고등급의 퀘스트를 걸었을 리도 없고.\아마 무언가 있을 거야.,The guild wouldn't have posted a high^grade quest for no reason.\There must be something.,ギルドだってただ高等級のクエストを出したわけがないだろう。きっと何かあるはずだ。,公会不会无缘无故发布高等级任务的。\肯定有什么原因。,,,,,,,,
